id,supplier,contract_name,start_date,end_date,terms
1,19,Maintenance & Support Contract (Machinery),2020-11-07,2024-11-06,"Standard terms, Payment terms Net 45, annual review clause, auto-renewal option."
2,11,Logistics Services Master Agreement,2024-11-14,2025-10-02,"Standard terms, Payment terms Net 30, annual review clause, auto-renewal option."
3,11,Component Sourcing Contract (Tier 1),2022-11-21,2025-11-20,"Standard terms, Payment terms Net 30, annual review clause, auto-renewal option."
4,17,Component Sourcing Contract (Tier 1),2023-08-20,2024-08-19,"Standard terms, Payment terms Net 60, annual review clause, auto-renewal option."
5,6,Volume Discount Contract for Elastomers,2024-01-28,2026-01-27,"Standard terms, Payment terms Net 45, annual review clause, auto-renewal option."
6,4,Component Sourcing Contract (Tier 1),2025-01-16,2026-06-16,"Standard terms, Payment terms Net 30, annual review clause, auto-renewal option."
7,6,Maintenance & Support Contract (Machinery),2021-05-13,2022-05-13,"Standard terms, Payment terms Net 60, annual review clause, auto-renewal option."
8,16,Master Purchase Agreement (Components),2022-07-07,2025-07-06,"Standard terms, Payment terms Net 45, annual review clause, auto-renewal option."
9,12,Master Purchase Agreement (Components),2020-11-09,2021-11-09,"Standard terms, Payment terms Net 60, annual review clause, auto-renewal option."
10,19,Maintenance & Support Contract (Machinery),2022-12-21,2026-03-23,"Standard terms, Payment terms Net 30, annual review clause, auto-renewal option."
11,9,Annual Supply Agreement for Raw Materials,2024-09-01,2025-09-01,"Standard terms, Payment terms Net 30, annual review clause, auto-renewal option."
12,5,Component Sourcing Contract (Tier 1),2022-07-26,2023-07-26,"Standard terms, Payment terms Net 45, annual review clause, auto-renewal option."
13,19,Volume Discount Contract for Elastomers,2022-08-12,2024-08-11,"Standard terms, Payment terms Net 60, annual review clause, auto-renewal option."
14,17,Master Purchase Agreement (Components),2024-01-22,2026-01-21,"Standard terms, Payment terms Net 45, annual review clause, auto-renewal option."
15,3,Annual Supply Agreement for Raw Materials,2020-09-11,2021-09-11,"Standard terms, Payment terms Net 30, annual review clause, auto-renewal option."
16,20,Logistics Services Master Agreement,2021-01-25,2023-01-25,"Standard terms, Payment terms Net 45, annual review clause, auto-renewal option."
17,4,Annual Supply Agreement for Raw Materials,2022-05-22,2026-05-21,"Standard terms, Payment terms Net 30, annual review clause, auto-renewal option."
18,13,Component Sourcing Contract (Tier 1),2022-05-04,2025-05-03,"Standard terms, Payment terms Net 60, annual review clause, auto-renewal option."
19,3,Logistics Services Master Agreement,2020-10-23,2023-10-23,"Standard terms, Payment terms Net 30, annual review clause, auto-renewal option."
20,4,Logistics Services Master Agreement,2023-06-13,2025-06-12,"Standard terms, Payment terms Net 45, annual review clause, auto-renewal option."
