id,supplier,product_name,discount_percent,valid_from,valid_to
1,4,Grinding Discs (4.5 inch),14.13,2022-03-29,2022-06-27
2,17,Brake Master Cylinder Assembly,9.98,2023-10-11,2024-10-10
3,4,Spindle Nut Washer,1.18,2024-01-27,2025-01-26
4,6,Brake Light Switch,14.32,2024-07-16,2025-04-12
5,2,Degreaser (Industrial Strength),12.27,2024-04-17,2024-10-14
6,13,Brake Pedal Assembly Sensor,4.86,2020-08-06,2021-02-02
7,6,DOT4 Brake Fluid Base Stock,13.8,2021-08-30,2022-05-27
8,9,Brake Caliper Piston (Phenolic),8.86,2023-07-03,2023-10-01
9,7,Parking Brake Cable Assembly,11.64,2022-04-09,2023-01-04
10,8,Heat Treatment Services (Quenching),13.22,2021-06-08,2022-06-08
11,4,Differential Oil Seal,7.44,2023-07-11,2023-10-09
12,14,Brake Caliper Piston (Phenolic),1.53,2021-03-13,2021-09-09
13,9,Brake Pad Shim Kit,8.22,2023-08-04,2023-11-02
14,4,Wheel Stud (M12x1.5),13.44,2024-08-24,2025-05-21
15,17,Brake Master Cylinder Assembly,2.56,2021-01-30,2021-10-27
16,16,Brake Pedal Assembly Sensor,7.11,2021-11-14,2022-05-13
17,1,Dust Boot (Caliper Pin),4.57,2023-07-02,2023-09-30
18,6,Brake Pad Backing Plates (Ceramic),1.3,2021-06-26,2022-06-26
19,9,Assembly Line Conveyor Belt,4.38,2024-05-23,2024-11-19
20,16,Powder Coating Service (Black),3.55,2023-05-16,2023-11-12
21,6,Brake Disc Casting (Ventilated),14.72,2023-02-22,2023-11-19
22,14,Differential Oil Seal,4.27,2024-03-11,2024-06-09
23,6,Silicon Carbide Abrasives (Grinding),5.07,2020-09-20,2021-06-17
24,14,Energy Audit Services,14.56,2022-10-13,2023-07-10
25,6,Assembly Line Conveyor Belt,3.17,2022-03-04,2023-03-04
26,6,Brake Booster Diaphragm,14.85,2020-07-16,2021-04-12
27,1,Welding Electrodes (E7018),11.54,2022-11-04,2023-11-04
28,6,Brake Pad Retainer Spring,7.73,2024-01-20,2024-04-19
29,4,Caliper Guide Pin (Stainless Steel),6.64,2022-09-27,2022-12-26
30,17,Wheel Bearing Unit (Front Axle),7.0,2021-06-10,2022-06-10
